review,rating
Best product at this price loved it. Thank you flipkart for safe delivery 💯😃,5
Excellent voice clarity superb bass for music lovers. Overall a very good product.,4
"This earphone is just awsome yaar , everything is just so perfect yaar just go for it blindly ,i tell you u cant find a best product at this price its awsome👌👌👌👌",5
It is an amazing product.. For this price... Less weight.. Flexible.. Super sound... Extra feature is call vibration.. Nice one.. Try it..,5
The product was good enough.. Stylish blur color with well designed earphones.. Coming to the specifications sound and bass was superb... Value for money... Batery backup is also good around 6 hours life.... No lag in PUBG... Highly satisfied but have to wait and see how long it works like this,5
Boat headset is very clear voice and bass is v good and plus point is fast charging 20 mint to 4 hrs batery backup... One of the best bluetooth headset....osmmm products,5
"A fine product i would say , well crafted design and good build quality ..  good fit and comfortable to wear ... enough bass to provide u good sound experience .. although not the most premium quality but still considering the price it's well ahead of it .. manages lows and highs well, sound mixing and good listening experience when it comes to music video and others ..the only CON i noticed was the microphone .. i think this device is not built for calling ... sometimes the voice is not eve...",3
Good product very fast delivery (with in 36 hours only) superb color love it,5
Boat rockerz 235 v2 is the budget blutooth hearphone. All are very good performance only sound quality is slightly poor.. vibration and battery backup is the best part in this product. Bass also very great .. just lysric clearing not proper,4
If you are a bass lover then blindly go for it . And I think 8 hours of backup is enough and 4 hours charge in 20 mins .what else we want . Superb,5
"Review after about 2months of usage.Before starting let me be clear, THIS DEVICE IS NOT FOR SERIOUS MUSIC LOVERS/AUDIOPHILES.I'm not gonna repeat the same technical aspects of it, you already know what's inside it. So...Coming to the sound, if you just love some BASS and heavy sounds this earphone will become your best buddy in no time. The volume on this is insane. I only use it at 20-30% max. It's very loud. So no complaints there.If you've used some premium earphone from brands lik...",4
Im a jbl user ..boat 235v2 battery is too good to stay 2 days..fast charging..bass is 5 of 5 but sound of vocal is 4 of 5.. mic is good ..although i bought this in 1299 ..in this range its good,4
The boat 235v2 is really good it's sounds very clear and also good bass. If you think buy a Bluetooth headset go for It. Just sounds and battery backup is awesome.,5
"Above from my expectation, after reading the review i opted for not to purchase this product but guys you won't believe it really work, too good sound quality, superb bass overall it is lovelly one....will make ur day sweet.......bass lover will loved it.This boat 235v2 is better than boult pro bass product coz i ordered both the earphone jst as to compare the quality and boat rockerz is jst uncomaprable...perfect tune...superb acaustic....voice calling is far better that boult earphone........",4
I brought this product as I was looking for a sweat proof headset for my workouts. I got it for 899 and I have to say that am pretty satisfied with the features and the quality that the headset has to deliver. I would definitely recommend this product to my family and friends. Just go for it !!!,5
Ti's is my first Bluetooth headset it is wonderful and color is more attractive and the sound quality is good and it is good product and value of money is 5star and battery is good,5
Very decent look product. Give superb bass. Mic quality is okok. Design and build is superb. In this price range it worth it.,4
Good quality and good product you have to take you will enjoy 👍😍 I just love it 🔥🔥🔥💞,5
Awsome Sound Quality 5 * !!Bass Is Awsome 5* !!Degin is Good 3* !!Battery backup much Good 4* !!,5
It so nice but nickband so tall but otherwise is best headphone call vibraion and fast charging nice product.....,5
It's a Awesome purchase. Value for money. I can't expect that type of sound and connectivity will get in this price range. Last time I bought Boult ear buds and refunded due to charging issue and connectivity issue.  That sound was not as powerful as this Boat headphone provides. Really happy to advise all of you if are searching for Bluetooth headphones please go for it. You will get everything you are searching for.  Thanks Flipcart. And request all of you please go for only Indian Products.,5
Very nice very satisfied and sound quality very good bass is excellent overall worth it,5
First of all it looks very perfect and is non fragile and awesome experience using this.....just fast delivery and well packed ....just perfect qs a product can be...and the best part is its mindblowing sound quality thunping my ears.....,5
"I think for this price range, it's one of the best available in market. sound quality is good and loudness is nothing short of excellence. Bluetooth connectivity is too good. Satisfactory with looks and build quality, could have been better.",5
i have ordered 2 headset reallyyyy awesome highly recommended for all good quality great supporting ear bud bass was veryyyy nyc,5
Perfect sound for the perfect priceI have been using it from three months everything is working good and best compare to another boat earphone. I just don't know why the company not issued any warranty for it.                          THANQ,4
thanks flipkart its was a wonderful time that i got it.. its awesome .. n wonderful build stylish build.. well company has approved much n fantastic headset .. thanks to the company..,5
awesome one  nice i buyed nurepublic headphons for my brother comparing with that boat headset is the best one but the battery backup is best in nu republic,5
"Best bluetooth headset in terms of bass, battery backup and fast charging,  this is only and only and only for listening songs, like while doing the workout ... but it is not meant for gaming and not even for watching videos cause I noticed a lot of lag,delay in delivering the audio,  if u want to play the games like pubg , pls dont go for it, and even the keypad tic tic sounds while typing are delayed for about a half a second , this headset is only for those people who ALWAYS LISTENS  TO mu...",4
"Build quality is similar ..but my parsonal experience build quality is not good but all over is good like battery ,sound quality .",5
Wow what a great product for in this price Fabulous sound quality and Aowsome battery backup I love this earphone and thanks Flipkart or boAt...,5
I would divide it in pros and cons...Pros:-1-good built quality2-excellent fit3-balanced sound4-good batery backup5- wireless range is good acc to price6-passive noise isolation is also acceptable7- Treible is good Cons:-1- Low bass#Others are good but it is good for a price at which I have got it i.e.899 more than this is not worthy for it,4
"Very sexy in look wise ... Awesome in this price range but boult audio curve is better option , good base and battery backup ..",4
It is good product i love it . Good sound quality and biuld quality. If you want to buy good headphones you ma try this👍👍👍👍👍💯💯💯,5
Excellent sound is good very nice colour wonderful super i like it so much 😘😍😍,4
Just awesome better than any other in this price range.fitting is good and backup also good last for two days for a normal user...and wire lenght adjusting is awesome .you hve option to manage lenght of wire according to ur need..,5
Decent product and value for money. This is built with a very good design. The sound quality is medium and little low quality sound during calls and receiving calls. Not much of a bass sound quality effect. Overall a good product to go for in this price.,5
Good product battery backup was good and sound quality also good i loved it 😍,5
They are really amazing worth of money nd sounds good while hearing songs. I'm satisfied with the product too much ?. Thank you...,5
"Sound for listening music is sufficient and balanced sound for light user, bass is normal not a very high bass. Having distorted while making a call. But also a positive sign that is a battery backup, company provides 8hr battery backup and that's true, battery backup is very good at this price. Overall at this budget price range this boat 235v2 Bluetooth Headphone is good and value for money.",3
Superb Product Awesome bass Awesome battery backup & fast charging excellent Bluetooth connectivity All over 5/5.....👌,5
sound quality is good. but earbuds are a bit rough.but ok. bass is good. build quality is what I like the most. battery backup is also nice. overall a good product. worth for your money delivery is a bit late and could be fast,4
"The Boat rockerz 235v2 is really a good wireless earphone,The build quality is awesome 👌👍The bass is very good and the most interesting part of this device is the call vibration.Thankyou boat for this good features.",3
Nice product...good sound and bass... And need to  some improvement in wire design...wire design should be flat type ....Overall good product...I am happy now.😁😁,5
It is a nice product with good sound quality good treble and good bass i like it very much thanks boat for this beautiful product with budget friendly price,5
Finally got boAt 235 v2 ... Everything is nice ...Money worth it.... Charging is so good .....●i suggest to people to take a this product is best for normal uses...●my suggestions for boAt company to pls  Add some extra bass in boAt 235v2,4
Good product at this prize good sound good base must buy,5
"Not so comfortable to wear and ear started paining after 5 min of use and music is not so clear we feel like hearing a radio,",1
Almost all good bass ok not more then JBL and real me but ok soft bass like it and one more thing headset earbuds  not nice not comfort to listen long time just for 30mins ok and not comfortable with earsbuds  design not nice boat 255 is the best design earbuds overall i will give rate for boat Rocker 235v2 ( 8/10 rating),3
"I got this earphone right now everything was ok but when i plugged in charging led light was not working it was really low when i saw it properly , I don't know if this is with my piece only or led is low .",3
The earphones are very good if you are looking at buying one for listening to music. Please look for other options if you intend to make calls as well. The microphone is not great and the person on the other side of the call will not be able to hear you clearly,2
"Some times buttons not workingSome times incoming call voice not activating we need to disconnect and reconnect again..Battery is excellent almost 3days backup for callsCharging very fast few minutes onlyBass level and sound clarity is good. Vibration while call waiting is irritating, not need this future Finally i will give only ⭐⭐ for this product.",2
"Brilliant earphones,,    With extraordinary battery backup. I didn't expect this much.  Supremely tuned sound. Hifi bass.     Balanced stereo sound. Go for it.                           Thank you.",5
"Sound is really good seeing the price range..I got it for 899/-, so happy with the quality. Previously using Mivi Thunderbeats with 13mm drivers, so it now feels a little low in sound now..bt if u see the price(at 899) its a good package. Bt yes I noticed the call quality is not so good. The other person on the call can't hear my every word properly. Using Boat Basshead wired also, bt this prblm is not there with that.",4
Everything good i order same product just because of quality and backup and best fitting everything is nice and also good sound quality in this budget thanks flipkart,4
"This is my first neckband earphone, i am really surprised for this product and truly happy good quality, nice sound and build quality is very well.. Really happy 😊",4
It's works fine and superb with this budget. Only thing is it will not compatible for PUBG game you will get the sound later for every action. Ex. You get the enemies foots sound after arrival means later.,4
I bought it for my mom and it's good.....well just good nothing more there are some issues but they can be neglected considering the price so if someone is on a tight budget then this is good or else I will recommend to go for oneplus bullets z earphone they are far better than these.,5
Beat product for normal people for class office work and song streaming ....Sound quality osm : no vibration or cracks with highest volume also...Battery back up good : with morning 100% charge last till night on continues useing ... Experience of 3 months ...Hardware : has been fallen from 4 to 5 feet 3 to 4 times all is fine Vibration : the vibration when we get call the band near the neck vibrates not so harsh so it's goood Best part : connects 2 device at a time which will help ...,5
Awesome product. Value for money. Good sound quality with better bass. Best thing is battery backup it last up to 12 to 14 hrs in single charge. Surely suggested......👍,4
"Good quality sound output from the earphones. Battery backup is good as per product specification do meets the exact backup time. Reacharge also won't take much time. Only thing I found little bit bad was the thin wires used. If you are a tough user go for flat wired type boat models, this one could break if not used safely and softly. Good product.",4
"Good product,  I liked ,decent sound quality, good battery backup. Charging port is not in proper place  it should have been in different place. Call  quality is good. Thanks Flipkart",4
Very good headset with very good sound quality and charging is very fastOnly thing is that the support for ear plugs can be made little bit more comfortableOverall a very good product.,4
Ear buds not comfort to ears.last call memory is there.next song forward is not there.we can't skip present song to go next song.very good blue tooth set for that price.very fast charging.charging cable.is given. charging adopter not given. over-all one should buy this.buy and enjoy .triple sound s are not effective.,4
Using this product since 10 days (as on 03.07.2020)Crystal Clear soundBass is good enoughVery soft earbudsBattery is long lasting battery is too much impressive even I feel no need of wired earphoneVery cool and stylish looktill date no cons.......,5
Super fast charge.sound was good bass also good,5
"I have purchased it in 899. After using 3 days I am writing this review.  It has very good battery backup. In 10 min charge you can used it for 2.5 hr. Sound quality is good. It has good bass as well. Previously I was using boat 255 and it has better bass and design as well. The issue in it the connectivity is not much good. If you have put mobile in your pocket then Somtimes you will feel distortion. But if you love balanced music, then it is not for you. Go for others Brand with more ...",5
Super and good quality bass price Rs.899 awesome product good thanking you flipkart.,5
Delivered 1 day before. Good packing. Build quality cheap but may last if use with care. Sound ok. Connects to 2 devices. Ear hooks fit properly. Vibrates on call. Voice command works for google. Range very bad. No connection in next room. Ok for this price.After purchase in June left side stopped working in September. They took 6 days to respond to complaint. Product was home collected free. Took 8 days to reach mumbai. Took 7 days for response. Took 9 days to reach me at kolkata with repl...,3
"Excellent quality product. Comparing to oriamo bass is little bit less. But battery backup is good, and fast charging also good.  Charging indicator led is not visible. But sometimes i  get distbance while listening music.",4
As per the observation of the product from the purchasing date to till the time .Please don't go for this product its like china product . I brought this on October  and saw it have 1 year warranty .MY headset left side is stopped working within in4 months. As per the advise from flip kart Customer care i reached the showroom with my Bill copy and all They are not ready to do replace or free service. They suggested me to go mobile service center for repaired the same. Really unsatisfied...,1
Bass too good ..but Dolby sound s not clear and left right sound output not here .. this s full base centre sound effects ly .. song left right music 0% .. middle bass middle sound music ...,4
Xlent mind blowing purchaseSound full HD sound 😌😌Bass is superb performance😘😍Battery is very good 😘Looking is very good 😎Color is very good 🤩🤩Totally too goodMust buying of this Bluetooth.... 😍😍😍😍😍😍😘😘😘😘😘😘😘😘,5
Awesome product in low budget Great Voice quality all feature are good I am strongly recommend to buy this earphone.. Happy,5
It is a good product at this price range... But not recommended for gaming and calling it also don't support 3D sound effect. I will update my review after using few months,3
Really awesome product by boat with stylish design.& Battery backup is just awesome with fast charging technology just go for it guys,5
"sound quality is good... expecially the bassthe design is much pretty but its hard to wear in the sleepy times. its mat finish is much impressive nd it also  with the inbuilt mic and battery backup , nd its bass is the main quality.. nd product quality is much better.in this price range its the best option ...its not more flexible ... we cant carry it in the pocket .. but usually its a neckband.. and it suit perfect and work perfect ..and it vibrating when we got a call .  its a good thi...",1
Although it's too early to write a review after just one day of use but I was using skullcandy method for two years but due to support local manufacturer this time I decided to purchase these earphones and believe me it's way more better than any other so called established brands. Sound and Bass are next level cool Bettery back up is also goodVibration during incoming call is a feature which was missing in skullcandy method which was 3200 while it's cost is 864(During sale).,4
"It's not too good , When I play any song fast I hear a sound like ""kachh"" sound quality is not good",3
Awesome product bass is tooooo good  battery backup and fast charge good finally music and especially bass lovers must buy this product thank u flipcart very fast deliveryAnd finally Thank u sooo much boat such a amazing product and very low price,5
"Sound quality not that good. Can't play it in full volume. Boat rockers 255 is way better than this product. I would definitely not recommend this earphone as if u add some 300rs to this price you can go for boat rockers 255. Avoid buying this, it's not worth ot",2
Nice...This is my first wireless handfree as per expectations Nice one  Design  is good but finishing is rough Bass is not to Good but okey  everg Calling is good i'm HappyDelivery was also Nice before Due date deliveredThanks Flipkart..Overall good purchase in this price range..,4
Best price and value for money.... Bass quality is oswm.... Clear sound and loud sound of full volume.. Design and build quality is superb in this price range Battery backup is oswm.... I used with full charge its run a full day... I am soo happy with battery backup... And vibration mood is superb... ... Don't thik just buy it....,5
Battery backup and build quality is good. Look wise also good. Fitted well in ear. But not happy with sound quality of song. You will need to install seprate equalizer application for better sound .,4
I love it specially because of battery backup.. sound quality is actually good but if you looking at it for calling purpose only so don't buy it. Noise cancelling doesn't work properly in these earphones others wise very nice product for those who love watching movies for hours and play games too,5
Must buy bluetooth headset. Guys blindly go for this headset. Very very worthy. It looks like more premium and got good design. It looks more premium than 255 F model. The most important thing in this headset is adjustable wire strap.,5
Review after 20 days of use.First of all bass is good if you love bass then go for it without second thought.Lags in build department as wires are thin.Have magnetic buds with no functionality i don't know why they provided.Connectivity is good i can hear music from one room to other without much distortion.If you are buying for general use like music and stuff then it's okay but for gamers or i say pubg players then you will be disappointed becoz they are just bad in that department the...,4
Good Quality i use this everyday but its design is have to like Samsung's level U product. Otherwise its sound quality is awesome in this price level.,5
"Awesome Product... It's a nice Bluetooth Headset, no doubt. It's sound is so sweet and design looks so good. It's battery backup is also very good. But using it for so long, it's bud make ears pain. So, for short time, it's very good product.",4
1. Charging Speed is very fast hardly take 45 minutes.2. Superb smooth bass...enjoying to listening deep bass songs.3. Perfectly placed music keys.,5
I am using this one week. The boat 235v2  performance is excellent. sound quality is good. Bass also very good. Battery life it's comes for two days. Bluetooth is good it paring at a time for two mobiles . It's very nice  head set good for all .totally I  will give 4.5 out of 5,5
"Good in this price range but not the bestSound quality is good for the price  , the battery life is great in this price range but in real life The earphones are not so comfortable for your ears , just after 30 mins it's feels uncomfortable in your ear.The built quality is average.Don't go for the boat logoSearch for other options alsoAlso check - MAONO AUD30The sound quality is good but a complete package for 1000 rupees . It fits good the bass is also above average , stylish and th...",3
Excellent product...  Awesome  sound with very nice bass. connecting to all devices quickly. Call quality is very good. Battery last for very long time.,5
Excellent voice clarity superb bass for music lovers . Good buy at a reasonable price.,4
positives - *good & fast battery *Very good sound quality *Sleek design and colourNegatives- *range is too short. Compny claim 10 mt but it was maximum of 6 mt only. i've tested many times.*If u use in open environment little bit of air disturb ur sound no matter the how near u with ur phone.I give it 3 star because  range is most important to me and full marks om design n battry,3
"I am writing this review after using this device for 10 days , here are some of my experiences The sound quality is good but the bass is low The buit of the neck band is of good material but the wires of earphone are very thin The earphones does not perfectly fit in my ear , and falls often Battery backup is very good , approx 8 hours for me in one charge Connectivity is good Call quality is also good , I feel no distubance in talking , even while walking I could finely hear the voices ...",4
"Any bdy likezzz music... just go for it....last time i m used boat rockerz 255f, more than that i like this one... the voice is cristal clear... i feel that in this neck band have enough bass is there.... i f any body likezz bass blindly you can go for it....genuinely sayzz...""I m full satisfied""...",5
"I got this earphones in 900 and it's best in this price range, in my experience some good things are:- 1.Battery backup is good as mentioned.2. Vibration feature is awesome.3. Build quality is good but not best.4. Fast charging is good .Some cons:- 1. Call swapping not possible or call disconnected during conference call.2. Sound is not crunchy, bass is good but treble is missing.3. Mic issue in each and every earphones sold ,I have tried in 3 different, opp person can't hear my voic...",3
Design and build very good niceSound clarity is awesomeBass is as clear. But not for bass lover. I love clarity and I got on this.Batery is one day all time connected.I got as I exceped.,5
Such a nice headphone.Just awesome ...ohhSound quality off boat is superb..And looking nice ..i recived mat blue colour .m happy with this full satisfied .i recived that what i expect ❤❤.,5
Pros:1.Looks very stylish feels light weight and comfortable for    long usage.2.Vibration feature is very useful. 3.Sound quality is decent with good amount of bass as    compared to price.4.Charges very fast in my case it takes 1 hr to charge from 0-    100%.5. Battery backup is also good I use it in office for calls and     music and keep it connected the whole day yet its battery     gives me 2 days of usage time.Cons:1. Connecting wires feel fragile not for very rough use. ...,4
"To be frank it's not up to what i expected.... i have been using boat 900 for last couple of years... May be because it is wired one, the quality of audio is very good in 900..... But in this Bluetooth one it's not that great.... But still according to the price it is a good deal. Battery back up is good and the build quality is nice......",4
Good packing and fast delivery light weight good quality at best price,5
It's really nice earphone it's looking good and it's better backup wass asmon it's good l bought it is 900 in that price was no compuition rally nice,4
Amazing product sound quality is very good bass also good design is nice and very good quality..,4
Good product.. Excellent bass.. Nice sound.. I got this product within 24 hr of booking... Fast delivery of flipkart..,4
Super quality nice build super bus and nice sound,5
Looking very good nice design super product I really loved it,5
"Great earphones in this price range with very great features like sweat proof, vibration call alert. Build quality is good overall good product",5
"It's bang for your buck , pretty good earphones , it has got good bass by default but if you're a bass lover then you would just need to tweek some settings in equaliser.",4
I just loved it because it's under best budget and good sound quality build quality little bit better overall performance of this headphone great.,5
Using it for few days. Really nice product. Pros:1. Superb build quality and comfortable.2. Excellent sound quality with a bit heavy bass.3. Good battery backup and fast charging.4. Call (Both ph and whatsapp) quality is also good.Cons:1. Connection gets weaker after ~20 ft.2. Answering/Rejecting whatsapp call doesn't work.,5
Excellent overall sound quaLity. Very good product with very good features. Recommended for everyone.,5
"Bought this pretty decent Headset about a month ago.Here are the pros: Good sound quality and bass, Bluetooth 5.0 with easy connectivity, Water proof and sweat proof. Cons: The wires are pretty thin and fragile. Should take extreme care. If you're a rough user, you might wanna rethink on buying this.Overall a good headset at decent price... So far so good.",4
"It is my first purchase for wireless Bluetooth, it is cool.. I  was looking for sound feature which it has awesome sound and cool headset. Fully satisfied with product.",5
"Super sound clarity and really good quality deep bass,and very fast charging.Thanks flipcart for quality product.",5
"Good looks, light weight, value for money.Pros Good battery back, up to 8hrs and above if charged proper for 2hrs.Sound quality is very good for music, calls quality also good, Cons Bass heavy, Ok on medium sound,,Wires quite thin should have been little thick",4
Wires connected to the earbuds are very thin...it would be great if the wires used were thick. Otherwise it is great experience to use it...looks far better than boat rockerz 255f as it is very outdated now.,4
"Nice design, build quality & nice colour. Good sound quality, bass and nice Call mic quality. I loved the product. Best Bluetooth earphones in this price range",5
Fastest deliver ( i recieved the product in the next day ) & amazing product with good sound clarity. Great battery backup,5
"Nice one at this prise range ,and it's good i got this at 860 rupees , we can connect 2 phones at a time ,mic quality is awesome ,bass is amazing",4
Flipkart delivery was fast and product was good but I ordered blue colur I got black. Everything else was good. Go for it very good headphones in this price value for money,5
"I got it for 899rs. According to this price the product Is pretty good, sound quality is average  but the earlocks are pretty painfull if you wear it for too long over all  it's good product for this price range.i bought this because of quick charging which work really well and save your time.",3
It's such a nice product in this valuable price... Just loved it seriously don't think too much guys just go for it.....,5
Excellent.. my 1st bluetooth Headset & m very much Happy with it.. 999/- is the best cost for this headset..Truly worth it..,5
"i got the headset today. just dhamaka pack device.. sound quality, bass boosted, design awasome.. fast connect to  mobile. very comfortable item. now i am new fan of boat headset.. now let see how much it durable.. i liked it💓",5
"This product it means it amazing , seriously its superb , sound or bass yr outstanding or awesome , i think u should going for buy this without any doubts , I personally really ❤️ it 👌👌",5
It is so good in awesome product I am so happy e this product battery backup he is good,5
Just go for it.... u cant purchase better wireless earphone at this range....its sound quality is not so good on watching you tube video but it is fabulous when i listend it from Wynk music app with changing in equalizer....i recommend u to listen songs on this on ur music app....it is far better.,5
"Guys, today I got my order. The sound quality and the bass is awesome. but don't buy this for PubG as you get latency. you will hear after 2 - 3 secs of firing, footsteps, and messages. So, for music and calls its pretty good but for gaming don't buy this. Go for 255F for PUBg.",4
Good product. But if u want for playing PUBG ITS NOT GOOD TOO MUCH AUDIO DELAY. I TRY LOTS OF THINGS TO FIX BUT . ITS DIDN'T WORK. FOR MUSIC AND CALLS ITS GOOD BUT FOR PUBG I DON'T RECOMMEND THAT ONE.,5
Delivery of product in one day and product quality also good I loved it thank Flipkart for ur commitment delivered in one day,4
"I bought this blue colored awesome headphone only at 899 during the pandemic time.Before I say about the product, I would I like to add a special thanks to flipkart and ekart delivery boy who helped me and supported me in change to delivery address and gave it to me safely.NowAbout the product its a really nice product at this price, sound and bass quality is quite impressive and battery backup is more than 8hrs.I just received it by today, so will give further review after a month.",5
"Better than expected! Great Indian product, very clear and bass is super. Due to high bass, peak volume makes more sound which can't be avoided in this type of earphones. Long quality cables. It's slipping from ear as it has more weight in outside, it's required for high bass earphones. That's the reason, ear hook is given along. Buttons and mic is good.",5
The best earohones so far. The buil quality is little cheap but it won't feel that much... Sound quality is good and bass is alsoo good .. overall worth the price.,4
Great headset With mind blowing bass and decent sound...Nervous abt the built quality finishing is not too good but still i enjoy the music overall this is the best product i suggest to purchase...,5
It's good right now. Working good. Happy using it. Use it for taking online classes and yoga and it's just working beautifully.,4
It's nice product & good sound & good base                    Designed is super and smooth control tqs flipkart,5
"Everything is fine about this product except the wire quality. Its not bad, bt can be improved.Otherwise best if you see price wise",4
"Very good for average users who are not looking for deep bass. Battery life is decent and charge time is quick.A few times there is some sort of connection problems and the headset keeps disconnecting and reconnecting, but it happens only once or twice in 2 to 3 days so nothing to worry about.Also while answering calls sometimes though the headset is connected you wont be able to answer and the inbuilt vibrator wont stop even after answering the call through your phone.Nice mids and averag...",4
Awesome product it is very useful to taking call while on drive and good designed for wire strip come with this is good to see totally worthy to purchase,4
The best product in this price range. I mean what more can you expect from a product @899/- only.Sound quality is average. Clarity is not good. However bass is good. Battery backup and fast charging is awesome.,5
"Good Design , Good Build Quality , Battery Backup is also Good & Works Properly",5
Awesome product I used so many headsets but I feel good nice product vibration alert is nice I buy this in sale for 899Rs,4
Very good product 👍👌👍👍👍👌 from boat I am very satisfied 👍 it looks very stylish osum product sound is very loud battery backup is good and bass is good you should buy this product now it product come 1ye,5
Boat bluetooth headset is good in sound quality and base in terms of this price range.its better than xioami mi blutooth and other headsets love it boat its made in india brand..,5
Good product from this price point Bass and vocals are good surely you can buy... it worth rs 900,4
Product is awesome sound quality also maintain at this price range and flexibility too good but bass quality is not heavy but good and most important think call vibrate is good finally I loved ❤️ it..........!!!!!!!!!!! I Giving 4.5 🌟,5
Best product in @999 price range. Sound quality & design is fantastic. Fast delivery by Flipkart. I loved it. Go for it.,5
Very good performance and bass is also so good and it is raf and taf sound is so nice I like boat headsetb so much very.... Nice,5
Super I have already use same model working awesome sound bass full satisfied  Thank you flipcort for fast delivery 🙏💐💐,5
The product is great and also want to thanks flipkart for such a quick delivery.. Thank you. It was nice shopping with u?,5
Every thing is good in this bluetooth but the mic is main problem its not clear as i expected  its good but if i talk to some one using this bluetooth  my voice is not clear. So as per listening its good not for talk.,4
